序号,提交答卷时间,所用时间,来源,来源详情,来自IP,1、您的性别：,2、您的出生年份( 填写数字，如，2003 )：,3、您的年级：,4、假设您能以4.3及以上的绩点毕业，您会有多高兴（0代表非常不高兴，10代表非常高兴）：,5、您目前的绩点（填写数字，如，3.75）：,6、您觉得能够以4.3及以上的绩点毕业的可能性（0代表不可能，10代表极有可能）：,总分
1,2023/11/25 15:32:02,33秒,微信,N/A,119.143.78.155(广东-广州),男,2003,大三,非常高兴,3.92,4,14
2,2023/11/25 15:34:17,53秒,微信,N/A,223.74.34.43(广东-深圳),女,2002,研究生及以上,非常高兴,4,8,18
3,2023/11/25 15:34:29,67秒,微信,N/A,223.148.84.197(湖南-长沙),女,2002,大二,9,3.62,2,11
4,2023/11/25 15:34:50,25秒,微信,N/A,218.17.207.19(广东-深圳),男,2002,大二,非常高兴,3.4,4,14
5,2023/11/25 15:35:06,26秒,微信,N/A,119.143.114.36(广东-广州),男,2001,研究生及以上,非常高兴,00,极有可能,20
6,2023/11/25 15:35:45,51秒,微信,N/A,182.102.9.31(江西-南昌),男,2001,研究生及以上,7,3.8,4,11
7,2023/11/25 15:35:49,64秒,微信,N/A,223.74.34.49(广东-深圳),女,2004,大一,8,0.00,9,17
8,2023/11/25 15:36:59,18秒,微信,N/A,223.160.231.25(重庆-重庆),女,2005,大一,非常高兴,3.75,7,17
9,2023/11/25 15:37:08,24秒,微信,N/A,223.104.68.68(广东-深圳),女,2005,大一,非常高兴,0,9,19
10,2023/11/25 15:37:14,24秒,微信,N/A,113.84.40.103(广东-汕头),男,2003,大二,非常高兴,3.45,6,16
11,2023/11/25 15:37:42,25秒,微信,N/A,223.104.68.127(广东-深圳),女,2001,研究生及以上,非常高兴,0,7,17
12,2023/11/25 15:40:10,20秒,微信,N/A,223.104.68.138(广东-深圳),女,1995,研究生及以上,8,3.45,8,16
13,2023/11/25 15:41:04,32秒,微信,N/A,223.74.34.110(广东-深圳),女,2004,大二,非常高兴,3.98,6,16
14,2023/11/25 15:41:17,41秒,微信,N/A,218.17.207.108(广东-深圳),男,2003,大二,非常高兴,3.89,1,11
15,2023/11/25 15:42:06,27秒,微信,N/A,117.136.40.199(广东-深圳),女,2003,大二,8,3.4,4,12
16,2023/11/25 15:44:45,22秒,微信,N/A,223.104.68.99(广东-深圳),女,2004,大二,非常高兴,3.5,4,14
17,2023/11/25 15:45:37,27秒,微信,N/A,223.104.68.14(广东-深圳),男,2004,大二,9,3.5,3,12
