序号,提交答卷时间,所用时间,来源,来源详情,来自IP,1、您的性别：,2、您的出生年份( 填写数字，如，2003 )：,3、您的年级：,4、您目前的绩点（填写数字，如，3.75）：,5、您觉得能够以4.3及以上的绩点毕业的可能性（0代表不可能，10代表极有可能）：,6、假设您能以4.3及以上的绩点毕业，您会有多高兴（0代表非常不高兴，10代表非常高兴）：,总分
1,2023/11/24 20:36:48,31秒,微信,N/A,58.251.166.68(广东-深圳),女,2002,大三,3.53,极有可能,非常高兴,20
2,2023/11/24 20:38:57,48秒,微信,N/A,223.104.68.47(广东-深圳),女,2003,大三,3.80,不可能,非常高兴,10
3,2023/11/24 20:39:05,60秒,微信,N/A,218.17.207.100(广东-深圳),男,1998,研究生及以上,3.10,不可能,8,8
4,2023/11/24 20:39:49,32秒,微信,N/A,112.97.84.93(广东-深圳),女,2003,大三,4.05,2,非常高兴,12
5,2023/11/24 20:40:40,25秒,微信,N/A,223.104.77.188(广东-惠州),女,2001,研究生及以上,3.56,6,8,14
6,2023/11/24 20:42:51,26秒,微信,N/A,183.46.100.2(广东-汕头),男,2003,大三,3.4,不可能,非常高兴,10
7,2023/11/24 20:45:18,22秒,微信,N/A,112.97.84.207(广东-深圳),女,2003,大三,3.48,不可能,6,6
8,2023/11/24 20:46:20,26秒,微信,N/A,183.46.208.65(广东-汕头),女,2003,大三,4.02,不可能,5,5
9,2023/11/24 20:55:47,29秒,微信,N/A,183.46.246.75(广东-汕头),男,2003,大三,3.58,5,5,10
10,2023/11/24 21:00:45,50秒,微信,N/A,1.145.112.133(国外-澳大利亚),女,1990,研究生及以上,3.95,6,7,13
11,2023/11/24 21:01:40,28秒,微信,N/A,183.46.133.110(广东-汕头),女,2002,大三,3.72,不可能,非常高兴,10
12,2023/11/24 21:12:59,25秒,微信,N/A,27.27.131.4(湖北-襄阳),女,2004,大二,3.5,5,5,10
13,2023/11/24 21:32:29,24秒,微信,N/A,223.74.34.71(广东-深圳),女,2004,大二,3.32,4,非常高兴,14
14,2023/11/24 22:51:06,25秒,微信,N/A,223.104.77.153(广东-惠州),女,2001,大四,3.07,不可能,非常高兴,10
15,2023/11/25 2:40:51,25秒,微信,N/A,223.104.148.120(江苏-苏州),男,2003,大二,2.76,6,6,12
16,2023/11/25 9:34:13,25秒,微信,N/A,112.97.57.24(广东-深圳),女,2003,大三,3.8,极有可能,非常高兴,20
17,2023/11/25 13:03:38,40秒,微信,N/A,223.74.34.54(广东-深圳),女,2002,大三,3.65,不可能,7,7
18,2023/11/25 13:06:20,29秒,微信,N/A,223.73.209.83(广东-深圳),女,2003,大三,3.76,1,8,9
19,2023/11/25 15:06:29,29秒,微信,N/A,183.46.72.238(广东-汕头),男,2004,大二,3.68,极有可能,非常高兴,20
20,2023/11/25 15:14:51,20秒,微信,N/A,39.144.168.22(江西-九江),男,2002,大一,3.25,3,9,12
21,2023/11/25 15:15:01,27秒,微信,N/A,183.17.124.34(广东-深圳),女,2001,大四,4,3,8,11
22,2023/11/25 15:15:27,25秒,微信,N/A,117.136.41.68(广东-广州),男,2001,大四,3.88,2,8,10
23,2023/11/25 15:15:30,47秒,微信,N/A,58.251.166.59(广东-深圳),女,2004,大二,3.4,不可能,非常高兴,10
24,2023/11/25 15:16:34,25秒,微信,N/A,119.143.164.130(广东-广州),男,2003,大三,3.65,不可能,非常高兴,10
25,2023/11/25 15:17:15,17秒,微信,N/A,27.22.85.160(湖北-襄阳),女,2004,大二,3.5,5,5,10
26,2023/11/25 15:17:48,38秒,微信,N/A,223.104.68.174(广东-深圳),女,1999,研究生及以上,3.6,极有可能,非常高兴,20
27,2023/11/25 15:18:40,32秒,微信,N/A,218.17.40.86(广东-深圳),男,1999,研究生及以上,3.2,4,9,13
28,2023/11/25 15:28:25,44秒,微信,N/A,218.17.40.67(广东-深圳),男,1999,研究生及以上,3.3,不可能,非常高兴,10
29,2023/11/25 15:33:38,19秒,微信,N/A,14.150.228.218(广东-佛山),男,2004,大二,3.22,不可能,非常高兴,10
30,2023/11/25 15:36:44,53秒,微信,N/A,218.17.207.80(广东-深圳),男,2003,大三,4.08,3,6,9
31,2023/11/25 15:39:00,24秒,微信,N/A,171.218.238.66(四川-成都),女,2002,大四,3.53,不可能,非常高兴,10
32,2023/11/25 15:43:31,28秒,微信,N/A,119.143.64.95(广东-广州),男,2003,大三,4.06,2,2,4
33,2023/11/25 16:02:51,51秒,微信,N/A,218.17.207.73(广东-深圳),男,1997,研究生及以上,3.5,8,非常高兴,18
34,2023/11/25 16:07:30,34秒,微信,N/A,117.136.31.250(广东-深圳),女,2001,大四,4.07,3,6,9
35,2023/11/25 16:12:17,28秒,微信,N/A,223.104.63.169(广东-深圳),女,2002,大四,3.65,不可能,6,6
36,2023/11/25 16:16:35,18秒,微信,N/A,223.160.226.232(重庆-重庆),女,2002,大四,3.7,3,9,12
37,2023/11/25 18:43:40,31秒,微信,N/A,120.231.218.213(广东-深圳),男,2000,研究生及以上,3.6,3,8,11
38,2023/11/25 20:08:11,30秒,微信,N/A,223.74.34.107(广东-深圳),男,2004,大一,0,4,7,11
